[Nest] 118  - 04/01/2024, 10:51:48 PM     LOG Nest application successfully started
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG UserController {/user}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/user, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG AppController {/}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/user, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/user/:id, PUT} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/auth/signup, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/auth/login, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/user/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/user/:id, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG AuthController {/auth}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/track, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/track, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/auth/refresh, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG TrackController {/track}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/track/:id, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG ArtistController {/artist}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/track/:id, PUT} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/track/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/artist, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/artist/:id, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/artist, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/artist/:id, PUT} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/artist/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG AlbumController {/album}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/album, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/album/:id, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/album/:id, PUT} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/album, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/album/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs, GET} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG FavsController {/favs}:
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/track/:id, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/track/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/album/:id, POST} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/album/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/artist/:id, DELETE} route
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Nest application successfully started
[Nest] 130  - 04/01/2024, 10:52:00 PM     LOG Mapped {/favs/artist/:id, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/user, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/user, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG UserController {/user}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/user/:id, PUT} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG AppController {/}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/user/:id, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG AuthController {/auth}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/user/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/auth/login, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/auth/signup, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/track, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/auth/refresh, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG TrackController {/track}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/track, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/track/:id, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/track/:id, PUT} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/track/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG ArtistController {/artist}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/artist/:id, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/artist, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/artist/:id, PUT} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/artist, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/artist/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG AlbumController {/album}:
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/album, POST} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/album/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/album/:id, PUT} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/album, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG Mapped {/album/:id, GET} route
[Nest] 142  - 04/01/2024, 10:56:19 PM     LOG FavsController {/favs}:
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/track/:id, POST} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/track/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs, GET} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/album/:id, POST} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/album/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/artist/:id, DELETE} route
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Nest application successfully started
[Nest] 142  - 04/01/2024, 10:56:20 PM     LOG Mapped {/favs/artist/:id, POST} route
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG Mapped {/user, GET} route
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG UserController {/user}:
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG Mapped {/, GET} route
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG Mapped {/user/:id, PUT} route
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG AppController {/}:
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG Mapped {/user, POST} route
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG AuthController {/auth}:
[Nest] 174  - 04/01/2024, 10:56:36 PM     LOG Mapped {/user/:id, GET} route
